@relation DATOS_HORNO_ENTRENA

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23303033,B102G33,1200,0.67,3611,22900,120,229,774,775,786,796,833
23303034,B102G33,1200,0.67,3601,22810,124,220,774,775,787,797,834
23303035,B102G33,1200,0.67,3630,23030,125,232,773,775,788,798,837
23303036,B102G33,1200,0.67,3665,23230,125,224,775,775,789,799,837
23303037,B100F55,1150,0.67,3023,18480,107,231,805,823,809,823,854
23303038,B100F55,1150,0.67,2872,17410,106,252,820,825,815,835,860
23303039,B100F55,1150,0.67,3510,21430,110,235,822,825,818,841,864
23303040,B102G33,1090,0.76,3194,20650,115,239,828,825,829,859,880
23303041,B102G33,1090,0.76,1125,7290,120,230,823,825,833,863,882
23303042,B102G33,1090,0.76,2020,18200,120,231,824,825,833,863,882
23303043,B102G33,1090,0.76,2384,17410,120,233,825,825,833,863,883
23303044,B102G33,1090,0.76,2756,18200,120,234,825,825,833,863,883
23303045,B102G33,1090,0.76,3150,20440,120,237,826,825,832,862,881
23303046,B102G33,1090,0.76,3203,20750,119,241,824,825,832,862,880
23303047,B102G55,1115,0.6,4023,21310,112,232,804,800,794,825,845
23303048,B102G33,1090,0.76,3178,22660,112,243,824,825,823,853,870
23303049,B102G33,1090,0.76,2868,18610,120,228,823,825,832,862,879
23303050,B102G33,1090,0.76,1922,12450,120,229,825,825,833,863,881
23303051,B102G33,1090,0.76,1235,16410,120,229,825,825,833,863,881
23303052,B102G33,1090,0.76,1932,16400,120,230,825,825,832,862,881
23303053,B102G33,1090,0.76,2485,16130,120,234,825,823,832,862,881
23303054,B102G55,1115,0.6,3999,21080,109,232,798,800,786,817,836
23303055,B102G55,1115,0.6,1875,10010,103,223,798,800,786,815,838
